Street Name,Project,Developers,City,Province,Country,Postal Code,Completion,Building Type,Num Floors,Status,Brochure URL,Photos,Price,Bed,Area,Unit Url
1975 Fountain Grass Drive,The Westdel,Tricar,London,ON,Canada,,2024,Condos,,2024,,https://www.livabl.com/london-on/the-westdel,"From $559,000",1.5 - 3.5 bd,925 - 1635 SqFt,https://www.livabl.com/london-on/the-westdel
2700 Buroak Drive,Fox Crossing,Auburn Homes,London,ON,Canada,,,Townhomes,,,,https://www.livabl.com/london-on/fox-crossing1,"From $637,900",3 bd,1480 - 1538 SqFt,https://www.livabl.com/london-on/fox-crossing1
Pack Road & Regiment Road,Talbot Village,Mansion Homes,London,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/london-on/talbot-village3,Register Now,Floorplans coming soon bd,,https://www.livabl.com/london-on/talbot-village3
Silverfox Drive & Tokala Trail,Creekview,Mapleton Homes,London,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/london-on/creekview2,"From $1,049,900",4 bd,1830 - 3098 SqFt,https://www.livabl.com/london-on/creekview2
Hyde Park Road & Sunningdale Road West,Gates of Hyde Park II,Foxwood Homes,London,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/london-on/gates-of-hyde-park-ii,"From $839,900",3 - 5 bd,1755 - 2276 SqFt,https://www.livabl.com/london-on/gates-of-hyde-park-ii
8 3 Side Road,Panorama,Royalpark Homes,Milton,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/milton-on/panorama,"From $999,999",2 - 5 bd,1720 - 3110 SqFt,https://www.livabl.com/milton-on/panorama
145 Nipissing Road,Stationside,Neatt Communities,Milton,ON,Canada,,,Condos,,,,https://www.livabl.com/milton-on/stationside,"From $487,990",Floorplans coming soon bd,,https://www.livabl.com/milton-on/stationside
10180 Derry Road,Soleil,Mattamy Homes Canada,Milton,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/milton-on/soleil,"From $934,990",3 - 4 bd,1508 - 2777 SqFt,https://www.livabl.com/milton-on/soleil
130 Thompson Road South,Thompson Towers,Greenpark Group,Milton,ON,Canada,,,Condos,,,,https://www.livabl.com/milton-on/thompson-towers,Register Now,Floorplans coming soon bd,,https://www.livabl.com/milton-on/thompson-towers
470 Gordon Krantz Avenue,Soleil Condos,Mattamy Homes Canada,Milton,ON,Canada,,,Condos,,,,https://www.livabl.com/milton-on/soleil-condos,"From $568,990",1 - 2.5 bd,547 - 947 SqFt,https://www.livabl.com/milton-on/soleil-condos
10180 Derry Rd,"Soleil, Milton",Mattamy Homes Canada,Milton,ON,Canada,,,Community,,,,https://www.livabl.com/milton-on/soleil-milton--mpc,"From $934,990",1 - 2.5 bd,,https://www.livabl.com/milton-on/soleil-milton--mpc
101 Nipissing Road,The Millhouse Condominiums,Fernbrook Homes,Milton,ON,Canada,,,Condos,,,,https://www.livabl.com/milton-on/the-millhouse-condominiums,Register Now,Floorplans coming soon bd,,https://www.livabl.com/milton-on/the-millhouse-condominiums
Tremaine Road & Bergamot Avenue,Milton Village,Great Gulf,Milton,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/milton-on/milton-village,"From $1,132,990",4 bd,1945 - 1950 SqFt,https://www.livabl.com/milton-on/milton-village
1050 Main Street East,Art on Main,Fernbrook Homes and Cityzen Development Group,Milton,ON,Canada,,Now,Condos,,Now,,https://www.livabl.com/milton-on/art-on-main1,"From $849,900",2.5 bd,983 SqFt,https://www.livabl.com/milton-on/art-on-main1
995 Thompson Road South,Kennedy Circle,Gable View Homes,Milton,ON,Canada,,2024,Condos,,2024,,https://www.livabl.com/milton-on/kennedy-circle,"From $674,990",1 - 2 bd,606 - 1042 SqFt,https://www.livabl.com/milton-on/kennedy-circle
Louis Saint Laurent Avenue & Savoline Boulevard,Jasper Village,The Conservatory Group,Milton,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/milton-on/jasper-village,Register Now,Floorplans coming soon bd,,https://www.livabl.com/milton-on/jasper-village
870 Thompson Rd S,Jasper Village,,Milton,ON,Canada,,,,,,,https://www.livabl.com/milton-on/jasper-village--mpc,,Floorplans coming soon bd,,https://www.livabl.com/milton-on/jasper-village--mpc
Louis Saint Laurent Avenue & Regional Road 25,Creekside Condos Milton,Sutherland Development Group and York Trafalgar Homes,Milton,ON,Canada,,2025,Condos,,2025,,https://www.livabl.com/milton-on/creekside-condos-milton,"From $580,800",1 - 3 bd,655 - 1468 SqFt,https://www.livabl.com/milton-on/creekside-condos-milton
Whitlock Avenue & James Snow Parkway,Hawthorne East Village,Mattamy Homes Canada,Milton,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/milton-on/hawthorne-east-village,"From $919,990",3 bd,1334 - 2048 SqFt,https://www.livabl.com/milton-on/hawthorne-east-village
2230 Derry Road West,Connectt - Building C,Lindvest,Milton,ON,Canada,,,Condos,,,,https://www.livabl.com/milton-on/connectt-building-c,Register Now,Floorplans coming soon bd,,https://www.livabl.com/milton-on/connectt-building-c
Bronte Street South & Britannia Road,Elements,Trinity Point Developments,Milton,ON,Canada,,,Condos & Towns,,,,https://www.livabl.com/milton-on/elements,Register Now,Floorplans coming soon bd,,https://www.livabl.com/milton-on/elements
Steeles Avenue West & Peru Road,Panorama,Andrin Homes,Milton,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/milton-on/panorama2,Register Now,Floorplans coming soon bd,,https://www.livabl.com/milton-on/panorama2
8 3 Side Rd,Panorama,Royalpark Homes,Milton,ON,Canada,,,Community,,,,https://www.livabl.com/milton-on/panorama--mpc,"From $999,999",Floorplans coming soon bd,,https://www.livabl.com/milton-on/panorama--mpc
760 Whitlock Avenue,Mile and Creek Condos,Mattamy Homes Canada,Milton,ON,Canada,,,Condos,,,,https://www.livabl.com/milton-on/mile-and-creek-condos,"From $537,990",1 - 3.5 bd,507 - 981 SqFt,https://www.livabl.com/milton-on/mile-and-creek-condos
James Snow Parkway & Britannia Road,James Snow Parkway & Britannia Road,Sundial Homes Limited,Milton,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/milton-on/james-snow-parkway-britannia-road,Register Now,Floorplans coming soon bd,,https://www.livabl.com/milton-on/james-snow-parkway-britannia-road
Peru Road & 3 Side Road,Panorama,Canvas Developments,Milton,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/milton-on/panorama1,Register Now,Floorplans coming soon bd,,https://www.livabl.com/milton-on/panorama1
4070 Dixie Road,Highlight Mississauga,Hazelton Developments,Mississauga,ON,Canada,,2024,Condos & Towns,,2024,,https://www.livabl.com/mississauga-on/highlight-mississauga,"From $545,990",1 - 3 bd,499 - 1176 SqFt,https://www.livabl.com/mississauga-on/highlight-mississauga
70 Mississauga Road South,Bridge House at Brightwater,"Diamondcorp, Dream, Fram + Slokker and Kilmer Group",Mississauga,ON,Canada,,2027,Condos & Towns,,2027,,https://www.livabl.com/mississauga-on/bridge-house-at-brightwater,"From $649,900",Studio - 3.5 bd,425 - 1369 SqFt,https://www.livabl.com/mississauga-on/bridge-house-at-brightwater
Lakefront Promenade & Lakeshore Road East,Aquanova Condos,Greenpark Group,Mississauga,ON,Canada,,,Condos,,,,https://www.livabl.com/mississauga-on/aquanova-condos,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/aquanova-condos
5160 Ninth Line,High Line Condos,Branthaven,Mississauga,ON,Canada,,,Condos,,,,https://www.livabl.com/mississauga-on/high-line-condos,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/high-line-condos
1240 Britannia Road West,Whitehorn Woods,National Homes,Mississauga,ON,Canada,,2025,Townhomes,,2025,,https://www.livabl.com/mississauga-on/whitehorn-woods,"From $1,099,990",3 - 4 bd,1499 - 2332 SqFt,https://www.livabl.com/mississauga-on/whitehorn-woods
Eglinton Avenue West & Mavis Road,Cameo Condominiums,The Conservatory Group,Mississauga,ON,Canada,,,Condos,,,,https://www.livabl.com/mississauga-on/cameo-condominiums,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/cameo-condominiums
255 Dundas Street West,Two55,Essence Homes and Blackthorn Development Corp,Mississauga,ON,Canada,,,Condos,,,,https://www.livabl.com/mississauga-on/two55,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/two55
202 Burnhamthorpe Road East,Keystone,Kaneff Corporation,Mississauga,ON,Canada,,2023,Condos,,2023,,https://www.livabl.com/mississauga-on/keystone,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/keystone
1190 Lorne Park Road,Lorne Park Place,Cachet Homes,Mississauga,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/mississauga-on/lorne-park-place,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/lorne-park-place
1110 Lorne Park Road,LJM Manors at Lorne Park,LJM Developments,Mississauga,ON,Canada,,,Townhomes,,,,https://www.livabl.com/mississauga-on/ljm-manors-at-lorne-park,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/ljm-manors-at-lorne-park
110 Dundas Street West,5 & 10,The Conservatory Group,Mississauga,ON,Canada,,,Townhomes,,,,https://www.livabl.com/mississauga-on/5--101,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/5--101
1300 Lakeshore Road East,Harbourwalk,Tridel,Mississauga,ON,Canada,,2028,Condos,,2028,,https://www.livabl.com/mississauga-on/harbourwalk1,"From $660,000",1 - 3 bd,489 - 1607 SqFt,https://www.livabl.com/mississauga-on/harbourwalk1
17 Ann Street,The Ann,Fram + Slokker and Kilmer Group,Mississauga,ON,Canada,,,Condos & Towns,,,,https://www.livabl.com/mississauga-on/the-ann,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/the-ann
1646 Dundas Street West,Emerson House,YYZed Project Management,Mississauga,ON,Canada,,2025,Condos,,2025,,https://www.livabl.com/mississauga-on/emerson-house1,"From the mid $900,000's",1.5 - 2.5 bd,853 - 2555 SqFt,https://www.livabl.com/mississauga-on/emerson-house1
151 City Centre Drive,EX3,Camrost Felcorp,Mississauga,ON,Canada,,2026,Condos,,2026,,https://www.livabl.com/mississauga-on/ex31,"From $2,331,900",2.5 bd,1425 - 1460 SqFt,https://www.livabl.com/mississauga-on/ex31
501 Lakeshore Road East,Stride Urban Towns,Kingsmen Group Inc. and Orca Equity Limited,Mississauga,ON,Canada,,,Townhomes,,,,https://www.livabl.com/mississauga-on/stride-urban-towns,"From $1,270,900",2 bd,1567 SqFt,https://www.livabl.com/mississauga-on/stride-urban-towns
89 Dundas Street West,Arte Residences,Emblem Developments,Mississauga,ON,Canada,,2025,Condos,,2025,,https://www.livabl.com/mississauga-on/arte-residences,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/arte-residences
1110 Lakeshore Road East,Birch Condos & Towns at Lakeview Village,Branthaven,Mississauga,ON,Canada,,,Condos & Towns,,,,https://www.livabl.com/mississauga-on/birch-condos--towns-at-lakeview-village,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/birch-condos--towns-at-lakeview-village
3672 Kariya Drive,Southlands at Exchange District,Camrost Felcorp,Mississauga,ON,Canada,,,Condos,,,,https://www.livabl.com/mississauga-on/southlands-at-exchange-district,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/southlands-at-exchange-district
355 Rathburn Road West,Aspire Condominiums,The Conservatory Group,Mississauga,ON,Canada,,,Condos,,,,https://www.livabl.com/mississauga-on/aspire-condominiums1,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/aspire-condominiums1
86 Dundas Street East,Artform,Emblem Developments,Mississauga,ON,Canada,,2024,Condos,,2024,,https://www.livabl.com/mississauga-on/artform,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/artform
189 Dundas Street West,The Orchard District,GALA Developments,Mississauga,ON,Canada,,,Condos,,,,https://www.livabl.com/mississauga-on/the-orchard-district,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/the-orchard-district
1110 Lakeshore Road East,Lakeview Village,DECO Homes,Mississauga,ON,Canada,,,Condos,,,,https://www.livabl.com/mississauga-on/lakeview-village1,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/lakeview-village1
1110 Lakeshore Road East,Lakeview Village,OPUS Homes,Mississauga,ON,Canada,,,Condos,,,,https://www.livabl.com/mississauga-on/lakeview-village2,Register Now,Floorplans coming soon bd,,https://www.livabl.com/mississauga-on/lakeview-village2
720 Rue Saint-Jacques,Victoria sur le parc,Broccolini,Montréal,QC,Canada,,Now,Condos,,Now,,https://www.livabl.com/montreal-qc/victoria-sur-le-parc,"From $551,900",1 - 2 bd,488 - 1405 SqFt,https://www.livabl.com/montreal-qc/victoria-sur-le-parc
6 Ruelle Hillside,Hillside Lane,GROUPEIMMO INC.,Westmount,QC,Canada,,2025,Condos,,2025,,https://www.livabl.com/westmount-qc/hillside-lane,Now Selling,2 - 3.5 bd,1090 - 2150 SqFt,https://www.livabl.com/westmount-qc/hillside-lane
1201 Rue du Square-Phillips,1 Square Phillips - Phase 1,Brivia Group,Montréal,QC,Canada,,2024,Condos,,2024,,https://www.livabl.com/montreal-qc/1-square-phillips--phase-1,"From $490,900",Studio - 3 bd,372 - 1486 SqFt,https://www.livabl.com/montreal-qc/1-square-phillips--phase-1
1450 Boulevard René-Lévesque Ouest,YUL Centre-ville,Brivia Group and Tianco Group,Montréal,QC,Canada,,Now,Condos & Towns,,Now,,https://www.livabl.com/montreal-qc/yul-centreville,"From $525,900",1 - 3 bd,700 - 3091 SqFt,https://www.livabl.com/montreal-qc/yul-centreville
628 Rue Saint-Jacques,628 Saint-Jacques,Broccolini,Montréal,QC,Canada,,Now,Condos,,Now,,https://www.livabl.com/montreal-qc/628-saintjacques,Now Selling,2 - 3 bd,828 - 2913 SqFt,https://www.livabl.com/montreal-qc/628-saintjacques
1228 Rue Mansfield,Mansfield,Brivia Group and TianQing Group,Montréal,QC,Canada,,2024,Condos,,2024,,https://www.livabl.com/montreal-qc/mansfield,"From $405,900",Studio - 3 bd,334 - 992 SqFt,https://www.livabl.com/montreal-qc/mansfield
1528 Rue Sherbrooke Ouest,Le Sherbrooke,Broccolini,Montréal,QC,Canada,,2025,Condos,,2025,,https://www.livabl.com/montreal-qc/le-sherbrooke,Now Selling,Studio - 3 bd,359 - 2252 SqFt,https://www.livabl.com/montreal-qc/le-sherbrooke
1051 Rue de la Montagne,Roccabella sur la Montagne,MC Finance,Montréal,QC,Canada,,Now,Condos,,Now,,https://www.livabl.com/montreal-qc/roccabella-sur-la-montagne,"From $539,800",1 - 3 bd,622 - 1625 SqFt,https://www.livabl.com/montreal-qc/roccabella-sur-la-montagne
1500 Boulevard René-Lévesque Ouest,Quinzecent,Brivia Group and TianQing Group,Montréal,QC,Canada,,Now,Condos,,Now,,https://www.livabl.com/montreal-qc/quinzecent,"From $380,900",Studio - 3 bd,365 - 1603 SqFt,https://www.livabl.com/montreal-qc/quinzecent
235 Boulevard René-Lévesque Est,La Tour Fides,MTL Développement,Montréal,QC,Canada,,2024,Condos & Towns,,2024,,https://www.livabl.com/montreal-qc/la-tour-fides,"From $296,900",Studio - 3 bd,327 - 2590 SqFt,https://www.livabl.com/montreal-qc/la-tour-fides
2070 Rue Peel,MAA Condominiums & Penthouses,Devimco Immobilier,Montréal,QC,Canada,,,Condos & Towns,,,,https://www.livabl.com/montreal-qc/maa-condominiums--penthouses,"From $853,000",Studio - 3 bd,324 - 2287 SqFt,https://www.livabl.com/montreal-qc/maa-condominiums--penthouses
5225 Boulevard Décarie,Théâtre Snowdon Condominiums,Omnia Technologies Inc.,Montréal,QC,Canada,,Now,Condos,,Now,,https://www.livabl.com/montreal-qc/theatre-snowdon-condominiums,"From $275,094",Studio - 2 bd,377 - 844 SqFt,https://www.livabl.com/montreal-qc/theatre-snowdon-condominiums
2198 Boulevard de Maisonneuve Est,SUMA Condominiums,"Groupe HD Immobilier, Omnia Technologies Inc. and Kastello",Montréal,QC,Canada,,,Condos,,,,https://www.livabl.com/montreal-qc/suma-condominiums,Register Now,Floorplans coming soon bd,,https://www.livabl.com/montreal-qc/suma-condominiums
2605 Avenue Pierre-De Coubertin,Vertica,Développement Novea,Montréal,QC,Canada,,2024,Condos & Towns,,2024,,https://www.livabl.com/montreal-qc/vertica,"From $473,555",Studio - 3 bd,426 - 1307 SqFt,https://www.livabl.com/montreal-qc/vertica
1956 Rue Bourdon,Dalia,Groupe Quorum,Montréal,QC,Canada,,,Condos & Towns,,,,https://www.livabl.com/montreal-qc/dalia,Register Now,Floorplans coming soon bd,,https://www.livabl.com/montreal-qc/dalia
288 Rue Richmond,Quartier Général - Phase 1,Prével,Montréal,QC,Canada,,Now,Condos & Towns,,Now,,https://www.livabl.com/montreal-qc/quartier-general--phase-1,"From $581,000",2 - 3 bd,871 - 948 SqFt,https://www.livabl.com/montreal-qc/quartier-general--phase-1
75 Chemin Bates,Perspectives Bates,Demonfort,Montréal,QC,Canada,,2024,Condos,,2024,,https://www.livabl.com/montreal-qc/perspectives-bates,"From $491,130",1 - 3 bd,611 - 1379 SqFt,https://www.livabl.com/montreal-qc/perspectives-bates
1801 Rue Bois-des-Caryers,Maisons de Ville LaSalle Parc Angrignon,Vivenda and Prével Alliance,Montréal,QC,Canada,,,Townhomes,,,,https://www.livabl.com/montreal-qc/maisons-de-ville-lasalle-parc-angrignon,"From $1,005,000",3 - 5 bd,2130 - 2860 SqFt,https://www.livabl.com/montreal-qc/maisons-de-ville-lasalle-parc-angrignon
1010 Rue de la Commune Est,Sax sur le fleuve,Kevlar Group,Montréal,QC,Canada,,Now,Condos,,Now,,https://www.livabl.com/montreal-qc/sax-sur-le-fleuve,"From $835,000",2 - 3 bd,1216 - 2583 SqFt,https://www.livabl.com/montreal-qc/sax-sur-le-fleuve
300 Sainte-Catherine Ouest,Maestria Condominiums - Phase 2,Devimco Immobilier,Montréal,QC,Canada,,2024,Condos,,2024,,https://www.livabl.com/montreal-qc/maestria-condominiums--phase-2,"From $984,700",Studio - 3 bd,366 - 2756 SqFt,https://www.livabl.com/montreal-qc/maestria-condominiums--phase-2
2180 Rue Sainte-Catherine Est,Esplanade Cartier - Phase 2,Prével,Montréal,QC,Canada,,2023,Condos,,2023,,https://www.livabl.com/montreal-qc/esplanade-cartier--phase-2,"From $522,000",3 - 4 bd,869 - 1133 SqFt,https://www.livabl.com/montreal-qc/esplanade-cartier--phase-2
367 Avenue des Pins,Le 367 des Pins,Mondev,Montréal,QC,Canada,,2024,Condos,,2024,,https://www.livabl.com/montreal-qc/le-367-des-pins,"From $332,900",Studio - 2 bd,380 - 1029 SqFt,https://www.livabl.com/montreal-qc/le-367-des-pins
118 Turgeon Street,Turgeon,,Montreal,QC,Canada,,Now,Condos & Towns,,Now,,https://www.livabl.com/montreal-qc/turgeon1,"From $1,425,000",3 bd,2159 SqFt,https://www.livabl.com/montreal-qc/turgeon1
38 Rue Square-Sir-George-Étienne-Cartier,Galdin - Phase 3,Groupe Quorum and Le Solano,Montréal,QC,Canada,,2024,Condos & Towns,,2024,,https://www.livabl.com/montreal-qc/galdin--phase-3,"From $479,900",1 - 3 bd,557 - 2172 SqFt,https://www.livabl.com/montreal-qc/galdin--phase-3
4005 Strandherd Drive,Anthem,Minto Communities,Ottawa,ON,Canada,,,Condos & Towns,,,,https://www.livabl.com/ottawa-on/anthem,Now Selling,2 bd,1063 - 1260 SqFt,https://www.livabl.com/ottawa-on/anthem
1451 Wellington Street West,The Residences at Island Park Drive,Mizrahi Developments,Ottawa,ON,Canada,,2023,Condos,,2023,,https://www.livabl.com/ottawa-on/the-residences-at-island-park-drive,"From $775,990",1 - 2.5 bd,578 - 1930 SqFt,https://www.livabl.com/ottawa-on/the-residences-at-island-park-drive
4005 Strandherd Drive,Quinn's Pointe,Minto Communities,Ottawa,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/ottawa-on/quinns-pointe,"From $479,900",2 - 5 bd,1338 - 3401 SqFt,https://www.livabl.com/ottawa-on/quinns-pointe
378 Crossway Terrace,Fairwinds South,Mattamy Homes Canada,Ottawa,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/ottawa-on/fairwinds-south,"From $599,990",3 bd,1485 - 1790 SqFt,https://www.livabl.com/ottawa-on/fairwinds-south
Moretto Court,Mahogany,Minto Communities,Ottawa,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/ottawa-on/mahogany,"From $679,900",2 - 5 bd,1260 - 3540 SqFt,https://www.livabl.com/ottawa-on/mahogany
3454 Greenbank Road,Half Moon Bay,Mattamy Homes Canada,Ottawa,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/ottawa-on/half-moon-bay1,"From $419,990",2 - 4 bd,1061 - 1806 SqFt,https://www.livabl.com/ottawa-on/half-moon-bay1
895 Montréal Road,Wateridge Village at Rockcliffe,Mattamy Homes Canada,Ottawa,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/ottawa-on/wateridge-village-at-rockcliffe1,"From $399,990",2 bd,984 - 1459 SqFt,https://www.livabl.com/ottawa-on/wateridge-village-at-rockcliffe1
Greenbank Road & Jockvale Road,Promenade,Mattamy Homes Canada,Ottawa,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/ottawa-on/promenade,"From $429,990",2 - 3 bd,1076 - 1848 SqFt,https://www.livabl.com/ottawa-on/promenade
380 Huntmar Drive,Parkside at Arcadia,Minto Communities,Ottawa,ON,Canada,,,"Condos, Towns & Singles",,,,https://www.livabl.com/ottawa-on/parkside-at-arcadia,"From $393,900",2 bd,1063 - 1272 SqFt,https://www.livabl.com/ottawa-on/parkside-at-arcadia
5618 Hazeldean Road,Abbott's Run,Minto Communities,Ottawa,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/ottawa-on/abbotts-run,"From $644,900",2 - 5 bd,1510 - 3410 SqFt,https://www.livabl.com/ottawa-on/abbotts-run
895 Montréal Road,360 Condos By Mattamy,Mattamy Homes Canada,Ottawa,ON,Canada,,,Condos,,,,https://www.livabl.com/ottawa-on/360-condos-by-mattamy,Register Now,Floorplans coming soon bd,,https://www.livabl.com/ottawa-on/360-condos-by-mattamy
5769 Fernbank Road,Union West,Glenview Homes,Ottawa,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/ottawa-on/union-west,Register Now,Floorplans coming soon bd,,https://www.livabl.com/ottawa-on/union-west
101 Queen Street,reResidences,Ashcroft Homes and Choo Communities,Ottawa,ON,Canada,,Now,Condos,,Now,,https://www.livabl.com/ottawa-on/reresidences,"From $465,000",Studio - 2.5 bd,475 - 3622 SqFt,https://www.livabl.com/ottawa-on/reresidences
2894 Findlay Creek Dr,Findlay Creek Village (Tamarack),Tamarack Homes,Ottawa,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/ottawa-on/findlay-creek-village-tamarack,"From $676,900",1 - 4 bd,1625 - 3755 SqFt,https://www.livabl.com/ottawa-on/findlay-creek-village-tamarack
2894 Findlay Creek Dr,Findlay Creek Village,,Gloucester,ON,Canada,,,,,,,https://www.livabl.com/ottawa-on/findlay-creek-village--mpc,"From $676,900",1 - 4 bd,,https://www.livabl.com/ottawa-on/findlay-creek-village--mpc
March Road & Klondike Road,Brookline,Minto Communities,Ottawa,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/ottawa-on/brookline,"From $609,900",2 - 4 bd,1436 - 2218 SqFt,https://www.livabl.com/ottawa-on/brookline
Egret Way,The Meadows at Half Moon Bay,Tamarack Homes,Ottawa,ON,Canada,,Now,Towns & Singles,,Now,,https://www.livabl.com/ottawa-on/the-meadows-at-half-moon-bay,"From $666,900",1 - 4 bd,1625 - 3755 SqFt,https://www.livabl.com/ottawa-on/the-meadows-at-half-moon-bay
Goulbourn Forced Road & Walden Drive,Kanata Lakes (HN Homes),HN Homes,Ottawa,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/ottawa-on/kanata-lakes-hn-homes,"From $787,800",1 - 4 bd,1545 - 3637 SqFt,https://www.livabl.com/ottawa-on/kanata-lakes-hn-homes
717 Cope Drive,Westwood (Tamarack),Tamarack Homes,Ottawa,ON,Canada,,2023,Towns & Singles,,2023,,https://www.livabl.com/ottawa-on/westwood-tamarack,"From $681,900",3 - 4 bd,1855 - 3755 SqFt,https://www.livabl.com/ottawa-on/westwood-tamarack
255 Bay Street,The Bowery Condos + Lofts,Richcraft Homes,Ottawa,ON,Canada,,Now,Condos,,Now,,https://www.livabl.com/ottawa-on/the-bowery-condos--lofts,"From $358,000",Studio525 SqFt bd,,https://www.livabl.com/ottawa-on/the-bowery-condos--lofts
186 Overberg Way,Bridlewood Trails,Claridge Homes,Ottawa,ON,Canada,,,"Condos, Towns & Singles",,,,https://www.livabl.com/ottawa-on/bridlewood-trails,"From $539,900",2 - 4 bd,1095 - 2450 SqFt,https://www.livabl.com/ottawa-on/bridlewood-trails
Aquaview Drive & Portobello Boulevard,Provence,eQ Homes,Ottawa,ON,Canada,,2024,Towns & Singles,,2024,,https://www.livabl.com/ottawa-on/provence,"From $579,900",2 - 4.5 bd,1268 - 3814 SqFt,https://www.livabl.com/ottawa-on/provence
805 Carling Avenue,Claridge Icon,Claridge Homes,Ottawa,ON,Canada,,Now,Condos,,Now,,https://www.livabl.com/ottawa-on/claridge-icon,"From $2,999,000",3 - 4 bd,2725 - 3600 SqFt,https://www.livabl.com/ottawa-on/claridge-icon
Eastboro Avenue,Eastboro - Phase 4,Ashcroft Homes,Ottawa,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/ottawa-on/eastboro-phase-4,Register Now,Floorplans coming soon bd,,https://www.livabl.com/ottawa-on/eastboro-phase-4
5766 Gilbert Road,Cascade City,Landa Global Properties,Richmond,BC,Canada,,Now,Condos & Towns,,Now,,https://www.livabl.com/richmond-bc/cascade-city,"From $1,099,900",2.5 bd,1075 SqFt,https://www.livabl.com/richmond-bc/cascade-city
Lansdowne Road & Number 3 Road,Luxe on Lansdowne,Canderel Residential and Townline,Richmond,BC,Canada,,2025,Condos,,2025,,https://www.livabl.com/richmond-bc/luxe-on-lansdowne,Register Now,2 - 2.5 bd,736 - 894 SqFt,https://www.livabl.com/richmond-bc/luxe-on-lansdowne
8071 Park Road,One Park (Phase 1 and 2),Grand Long,Richmond,BC,Canada,,Now,Condos,,Now,,https://www.livabl.com/richmond-bc/one-park-phase-1-and-2,Now Selling,1 bd,546 - 590 SqFt,https://www.livabl.com/richmond-bc/one-park-phase-1-and-2
8831 Cambie Road,Talistar,Polygon Homes,Richmond,BC,Canada,,2026,Condos,,2026,,https://www.livabl.com/richmond-bc/talistar2,"From $766,000",1 - 2 bd,634 - 840 SqFt,https://www.livabl.com/richmond-bc/talistar2
6331 Number 3 Road,RC at CF Richmond Centre,Cadillac Fairview Corporation and Shape Properties,Richmond,BC,Canada,,2026,Condos & Towns,,2026,,https://www.livabl.com/richmond-bc/rc-at-cf-richmond-centre,Now Selling,Floorplans coming soon bd,,https://www.livabl.com/richmond-bc/rc-at-cf-richmond-centre
10333 River Drive,Parc Portofino,Dava Developments,Richmond,BC,Canada,,2024,Townhomes,,2024,,https://www.livabl.com/richmond-bc/parc-portofino,"From $968,900",3 bd,1366 - 1480 SqFt,https://www.livabl.com/richmond-bc/parc-portofino
23200 Gilley Road,Hamilton Village - Phase 2 West,Oris,Richmond,BC,Canada,,2024,Condos,,2024,,https://www.livabl.com/richmond-bc/hamilton-village--phase-2-west,"From $579,900",1.5 - 2.5 bd,646 - 979 SqFt,https://www.livabl.com/richmond-bc/hamilton-village--phase-2-west
4300 Thompson Road,Parc Thompson,Dava Developments,Richmond,BC,Canada,,2023,Townhomes,,2023,,https://www.livabl.com/richmond-bc/parc-thompson,Register Now,3 bd,1249 - 1475 SqFt,https://www.livabl.com/richmond-bc/parc-thompson
