Street Name,Project,Developers,City,Province,Country,Postal Code,Completion,Building Type,Num Floors,Status,Brochure URL,Photos,Price,Bed,Area,Unit Url,Description,Status,Parking Included,Parking Price,Locker Included,Locker Price,Building Type,Deposit Structure
64 Prince Arthur Avenue,64 Prince Arthur Avenue Condos,ADI Development Group,The Annex,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2017/09/64-prince-arthur-avenue-condos-rendering-260x260.jpeg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/64-prince-arthur-avenue-condos/,"64 Prince Arthur Avenue Condos is a new condominium development by ADI Development Group currently in pre-construction located at 64 Prince Arthur Avenue, Toronto in the The Annex neighbourhood with a 93/100 walk score and a 100/100 transit score. 64 Prince Arthur Avenue Condos is designed by RAW Design. The project is 13 storeys tall and has a total of 95 suites. 64 Prince Arthur Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
500 Duplex Avenue,500 Duplex Avenue Condos,Minett Capital Inc,Lytton Park,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/500-duplex-avenue-condos/,"500 Duplex Avenue Condos is a new condominium development by Minett Capital Inc & Streamliner Properties Inc. currently in pre-construction located at 500 Duplex Avenue, Toronto in the Lytton Park neighbourhood with a 93/100 walk score and a 88/100 transit score. 500 Duplex Avenue Condos is designed by IBI Group. The project is 12 storeys tall and has a total of 523 suites. 500 Duplex Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
41 Four Winds Drive,41-75 Four Winds Drive Condos,Jaymor Group,York University,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/01/41-75-four-winds-drive-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/41-75-four-winds-drive-condos/,"41-75 Four Winds Drive Condos is a new condominium development by Jaymor Group currently in pre-construction located at 41 Four Winds Drive, Toronto in the York University neighbourhood with a 73/100 walk score and a 79/100 transit score. 41-75 Four Winds Drive Condos is designed by Michael Spaziani Architect Inc.. The project is 25 storeys tall and has a total of 547 suites. 41-75 Four Winds Drive Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
1 Greenbriar Road,1 Greenbriar Road Condos,AC Development,Bayview Village,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/1-greenbriar-road-condos/,"1 Greenbriar Road Condos is a new condominium development by AC Development currently in pre-construction located at 1 Greenbriar Road, Toronto in the Bayview Village neighbourhood with a 38/100 walk score and a 71/100 transit score. 1 Greenbriar Road Condos is designed by ICON Architects Inc. The project is 12 storeys tall and has a total of 145 suites. 1 Greenbriar Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
8 Raglan Avenue,Alfie Condos,Madison Group,Hillcrest Village St Clair-Humewood,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/09/alfie-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/alfie-condos/,"Alfie Condos is a new condominium development by Madison Group currently in pre-construction located at 8 Raglan Avenue, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 79/100 walk score and a 86/100 transit score. Alfie Condos is designed by superkül & Turner Fleischer Architects and will feature interior design by II BY IV DESIGN. The project is 28 storeys tall and has a total of 427 suites. Alfie Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Townhouse,
429 Walmer Road,429 Walmer Road Condos,Stafford Homes,Forest Hill,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2022/09/429-walmer-road-condos-rendering-01-260x260.png,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/429-walmer-road-condos/,"429 Walmer Road Condos is a new condominium development by Stafford Homes currently in pre-construction located at 429 Walmer Road, Toronto in the Forest Hill neighbourhood with a 85/100 walk score and a 85/100 transit score. 429 Walmer Road Condos is designed by Arcadis IBI Group Architects. The project is 19 storeys tall and has a total of 98 suites. 429 Walmer Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
141 Davisville Avenue,141 Davisville Avenue Condos,Osmington Gerofsky Development Corp,Davisville Village,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/141-davisville-avenue-condos/,"141 Davisville Avenue Condos is a new condominium development by Osmington Gerofsky Development Corp currently in pre-construction located at 141 Davisville Avenue, Toronto in the Davisville Village neighbourhood with a 86/100 walk score and a 86/100 transit score. 141 Davisville Avenue Condos is designed by Wallman Architects. The project is 32 storeys tall and has a total of 423 suites. 141 Davisville Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
175 Eileen Avenue,The Towns of Lambton Mills,TFC Developments,Lambton,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/the-towns-of-lambton-mills/,"The Towns of Lambton Mills is a new condominium development by TFC Developments currently in pre-construction located at 175 Eileen Avenue, Toronto in the Lambton neighbourhood with a 67/100 walk score and a 64/100 transit score. The Towns of Lambton Mills is designed by Romanov Romanov Architects Inc.. The project is 3 storeys tall and has a total of 58 suites. The Towns of Lambton Mills is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
500 Sheppard Avenue East,500 Sheppard Avenue East Condos,Bayview Sheppard Developments Limited,Willowdale,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/500-sheppard-avenue-east-condos/,"500 Sheppard Avenue East Condos is a new condominium development by Bayview Sheppard Developments Limited currently in pre-construction located at 500 Sheppard Avenue East, Toronto in the Willowdale neighbourhood with a 77/100 walk score and a 72/100 transit score. 500 Sheppard Avenue East Condos is designed by IBI Group. The project is 39 storeys tall and has a total of 925 suites. 500 Sheppard Avenue East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
680 Sheppard Avenue East,680 Sheppard Avenue East Condos,Greybrook Realty Partners,Bayview Village,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/03/680-sheppard-avenue-east-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/680-sheppard-avenue-east-condos/,"680 Sheppard Avenue East Condos is a new condominium development by Greybrook Realty Partners & Tribute Communities currently in pre-construction located at 680 Sheppard Avenue East, Toronto in the Bayview Village neighbourhood with a 84/100 walk score and a 72/100 transit score. 680 Sheppard Avenue East Condos is designed by Kirkor Architect + Planners. The project is 22 storeys tall and has a total of 487 suites. 680 Sheppard Avenue East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
29 Pleasant Boulevard,29-39 Pleasant Boulevard Condos,Gairloch,Summerhill,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2020/02/29-39-pleasant-boulevard-condos-rendering-001-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/29-39-pleasant-boulevard-condos/,"29-39 Pleasant Boulevard Condos is a new condominium development by Gairloch & Harlo Capital & KingSett Capital currently in pre-construction located at 29 Pleasant Boulevard, Toronto in the Summerhill neighbourhood with a 88/100 walk score and a 88/100 transit score. 29-39 Pleasant Boulevard Condos is designed by Giannone Petricone Associates Inc.. The project is 40 storeys tall and has a total of 330 suites. 29-39 Pleasant Boulevard Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
136 Broadway Avenue,136 Broadway Avenue Condos,Reserve Properties,Yonge & Eglinton,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/02/136-broadway-avenue-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/136-broadway-avenue-condos/,"136 Broadway Avenue Condos is a new condominium development by Reserve Properties currently in pre-construction located at 136 Broadway Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 85/100 walk score and a 85/100 transit score. 136 Broadway Avenue Condos is designed by Arcadis IBI Group Architects. The project is 35 storeys tall and has a total of 366 suites. 136 Broadway Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
15 Hollis Street,15 Hollis Street Condos,Gairloch,Mt Dennis,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/08/15-hollis-street-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/15-hollis-street-condos/,"15 Hollis Street Condos is a new condominium development by Gairloch currently in pre-construction located at 15 Hollis Street, Toronto in the Mt Dennis neighbourhood with a 55/100 walk score and a 70/100 transit score. 15 Hollis Street Condos is designed by architectsAlliance. The project is 45 storeys tall and has a total of 326 suites. 15 Hollis Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
1233 Yonge Street,1233 Yonge Street Condos,Plaza,Summerhill,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/02/1233-yonge-street-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/1233-yonge-street-condos/,"1233 Yonge Street Condos is a new condominium development by Plaza currently in pre-construction located at 1233 Yonge Street, Toronto in the Summerhill neighbourhood with a 94/100 walk score and a 86/100 transit score. 1233 Yonge Street Condos is designed by Arcadis IBI Group Architects. The project is 49 storeys tall and has a total of 724 suites. 1233 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
25 McMurrich Street,25 McMurrich Street Condos,The Gupta Group,Yorkville,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/08/25-mcmurrich-street-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/25-mcmurrich-street-condos/,"25 McMurrich Street Condos is a new condominium development by The Gupta Group currently in pre-construction located at 25 McMurrich Street, Toronto in the Yorkville neighbourhood with a 100/100 walk score and a 91/100 transit score. 25 McMurrich Street Condos is designed by Arcadis IBI Group Architects. The project is 23 storeys tall and has a total of 189 suites. 25 McMurrich Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
3400 Dufferin Street,3400 Dufferin Street Condos,Collecdev,North Park-Yorkdale,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/08/3400-dufferin-street-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/3400-dufferin-street-condos/,"3400 Dufferin Street Condos is a new condominium development by Collecdev currently in pre-construction located at 3400 Dufferin Street, Toronto in the North Park-Yorkdale neighbourhood with a 82/100 walk score and a 85/100 transit score. 3400 Dufferin Street Condos is designed by gh3*. The project is 29 storeys tall and has a total of 834 suites. 3400 Dufferin Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
Dupont Street,Dupont Towns,Grid Developments,Wallace Emerson,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/dupont-towns/,"Dupont Towns is a new condominium development by Grid Developments currently in pre-construction located at Dupont Street, Toronto in the Wallace Emerson neighbourhood with a 90/100 walk score and a 85/100 transit score. The project has a total of 7 suites. Dupont Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
128 Gorman Park Road,Gorman Park Condos,Greenfield Quality Builders,Clanton Park,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2017/08/128-gorman-park-road-rendering-2-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/gorman-park-condos/,"Gorman Park Condos is a new condominium development by Greenfield Quality Builders currently in pre-construction located at 128 Gorman Park Road, Toronto in the Clanton Park neighbourhood with a 70/100 walk score and a 75/100 transit score. Gorman Park Condos is designed by superkül. The project is 9 storeys tall and has a total of 85 suites. Gorman Park Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
491 Glencairn Avenue,Glencairn Condos,Greatwise Developments,Glen Park,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2014/09/bathurst-glencairn-condos-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/glencairn-condos/,"Glencairn Condos is a new condominium development by Greatwise Developments currently in pre-construction located at 491 Glencairn Avenue, Toronto in the Glen Park neighbourhood with a 77/100 walk score and a 72/100 transit score. Glencairn Condos is designed by CORE Architects. The project is 8 storeys tall and has a total of 105 suites. Glencairn Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
1745 Saint Clair Avenue West,1745 St. Clair Avenue West Condos,Kultura,The Junction,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2019/12/1745-st-clair-avenue-west-condos-rendering-001-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/1745-st-clair-avenue-west-condos/,"1745 St. Clair Avenue West Condos is a new condominium development by Kultura currently in pre-construction located at 1745 Saint Clair Avenue West, Toronto in the The Junction neighbourhood with a 90/100 walk score and a 81/100 transit score. 1745 St. Clair Avenue West Condos is designed by RAW Design. Development is scheduled to be completed in 2023. The project is 11 storeys tall and has a total of 70 suites. 1745 St. Clair Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
1326 Wilson Avenue,Humber River Condos,Time Development Group,Downsview,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/humber-river-condos/,"Humber River Condos is a new condominium development by Time Development Group currently in pre-construction located at 1326 Wilson Avenue, Toronto in the Downsview neighbourhood with a 48/100 walk score and a 66/100 transit score. Humber River Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
1086 Yonge Street,1086 Yonge Street Condos,North Drive,Summerhill,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/08/1086-yonge-street-condos-rendering-04-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/1086-yonge-street-condos/,"1086 Yonge Street Condos is a new condominium development by North Drive currently in pre-construction located at 1086 Yonge Street, Toronto in the Summerhill neighbourhood with a 91/100 walk score and a 87/100 transit score. 1086 Yonge Street Condos is designed by Reflect Architecture. The project is 12 storeys tall and has a total of 28 suites. 1086 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
88 Isabella Street,88 Isabella Street Condos,Capital Developments,Church & Wellesley,Ontario,Canada,,2029,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,710 sq.ft.,https://www.talkcondo.com/toronto/88-isabella-street-condos/,"88 Isabella Street Condos is a new condominium development by Capital Developments currently in pre-construction located at 88 Isabella Street, Toronto in the Church & Wellesley neighbourhood with a 97/100 walk score and a 90/100 transit score. 88 Isabella Street Condos is designed by Diamond Schmitt Architects. Development is scheduled to be completed in 2029. The project is 62 storeys tall and has a total of 669 suites. 88 Isabella Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
5 Raglan Avenue,5 Raglan Avenue Condos,Lash Group of Companies,Hillcrest Village St Clair-Humewood,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/02/5-raglan-avenue-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/5-raglan-avenue-condos/,"5 Raglan Avenue Condos is a new condominium development by Lash Group of Companies & The Goldman Group currently in pre-construction located at 5 Raglan Avenue, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 90/100 walk score and a 86/100 transit score. 5 Raglan Avenue Condos is designed by Richmond Architects Ltd.. The project is 28 storeys tall and has a total of 210 suites. 5 Raglan Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
36 Eglinton Avenue West,36 Eglinton Avenue West Condos,Lifetime Developments,Lytton Park,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/02/36-eglinton-avenue-west-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/36-eglinton-avenue-west-condos/,"36 Eglinton Avenue West Condos is a new condominium development by Lifetime Developments currently in pre-construction located at 36 Eglinton Avenue West, Toronto in the Lytton Park neighbourhood with a 98/100 walk score and a 93/100 transit score. 36 Eglinton Avenue West Condos is designed by Wallman Architects. The project is 59 storeys tall and has a total of 614 suites. 36 Eglinton Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
2010 Yonge Street,2010 Yonge Street Condos,The Sud Group,Chaplin Estates,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2022/02/2010-yonge-street-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/2010-yonge-street-condos/,"2010 Yonge Street Condos is a new condominium development by The Sud Group currently in pre-construction located at 2010 Yonge Street, Toronto in the Chaplin Estates neighbourhood with a 94/100 walk score and a 91/100 transit score. 2010 Yonge Street Condos is designed by Graziani + Corazza Architects Inc.. The project is 14 storeys tall and has a total of 161 suites. 2010 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
1871 Weston Road,Weston Park Development,Castlepoint Numa,Weston,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2022/01/weston-park-development-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/weston-park-development/,"Weston Park Development is a new condominium development by Castlepoint Numa currently in pre-construction located at 1871 Weston Road, Toronto in the Weston neighbourhood with a 80/100 walk score and a 79/100 transit score. Weston Park Development is designed by SvN Architects and Giannone Petricone Associates Inc.. The project is 50 storeys tall and has a total of 927 suites. Weston Park Development is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
49 Lawrence Avenue East,Lawrence Park 19 Towns,Gairloch,Lawrence Park,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2017/10/lawrence-park-19-towns-rendering-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/lawrence-park-19-towns/,"Lawrence Park 19 Towns is a new condominium development by Gairloch currently in pre-construction located at 49 Lawrence Avenue East, Toronto in the Lawrence Park neighbourhood with a 85/100 walk score and a 82/100 transit score. Lawrence Park 19 Towns is designed by architectsAlliance. The project has a total of 19 suites. Lawrence Park 19 Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
750 Mount Pleasant Road,750 Mount Pleasant Road Condos,Bazis Inc,Davisville Village,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/09/750-mount-pleasant-road-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/750-mount-pleasant-road-condos/,"750 Mount Pleasant Road Condos is a new condominium development by Bazis Inc currently in pre-construction located at 750 Mount Pleasant Road, Toronto in the Davisville Village neighbourhood with a 95/100 walk score and a 88/100 transit score. 750 Mount Pleasant Road Condos is designed by R. Varacalli Architect. The project is 35 storeys tall and has a total of 398 suites. 750 Mount Pleasant Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
Avenue Road & Lytton Boulevard,Lytton Park Custom Townhomes,Sierra Building Group,Lytton Park,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2015/07/lytton-park-custom-towns-exterior-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/lytton-park-custom-townhomes/,"Lytton Park Custom Townhomes is a new condominium development by Sierra Building Group currently in pre-construction located at Avenue Road & Lytton Boulevard, Toronto in the Lytton Park neighbourhood with a 31/100 walk score and a 70/100 transit score. The project has a total of 6 suites. Lytton Park Custom Townhomes is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
1801 Eglinton Avenue West,1801 Eglinton Avenue West Condos,KingSett Capital,Cedarvale-Oakwood Vaughan,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2020/10/1801-eglinton-avenue-west-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/1801-eglinton-avenue-west-condos/,"1801 Eglinton Avenue West Condos is a new condominium development by KingSett Capital currently in pre-construction located at 1801 Eglinton Avenue West, Toronto in the Cedarvale-Oakwood Vaughan neighbourhood with a 82/100 walk score and a 79/100 transit score. 1801 Eglinton Avenue West Condos is designed by BDP Quadrangle. The project is 41 storeys tall and has a total of 399 suites. 1801 Eglinton Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
228 Wilson Avenue,The 228 Condominiums & Towns,Kartelle,Armour Heights,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2014/09/the-228-towns-condos-04-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/the-228-condos/,"The 228 Condominiums & Towns is a new condominium development by Kartelle currently in pre-construction located at 228 Wilson Avenue, Toronto in the Armour Heights neighbourhood with a 78/100 walk score and a 67/100 transit score. The project is 17 storeys tall and has a total of 108 suites. The 228 Condominiums & Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Townhouse,
2011 Lawrence Avenue West,River Town,Crowntrust Developer,Weston,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/river-town/,"River Town is a new condominium development by Crowntrust Developer currently in pre-construction located at 2011 Lawrence Avenue West, Toronto in the Weston neighbourhood with a 82/100 walk score and a 81/100 transit score. River Town is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
289 Christie Street,289 Christie Street Condos,Zinc Developments,Christie Pits,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/289-christie-street-condos/,"289 Christie Street Condos is a new condominium development by Zinc Developments currently in pre-construction located at 289 Christie Street, Toronto in the Christie Pits neighbourhood with a 81/100 walk score and a 82/100 transit score. 289 Christie Street Condos is designed by RAW Design. The project is 6 storeys tall and has a total of 49 suites. 289 Christie Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
2801 Keele Street,Keele and Paxtonia Condos,Trinity Point Developments,Downsview,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/keele-and-paxtonia-condos/,"Keele and Paxtonia Condos is a new condominium development by Trinity Point Developments currently in pre-construction located at 2801 Keele Street, Toronto in the Downsview neighbourhood with a 28/100 walk score and a 67/100 transit score. Keele and Paxtonia Condos is designed by Graziani + Corazza Architects Inc.. The project is 11 storeys tall and has a total of 156 suites. Keele and Paxtonia Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
23 Poyntz Avenue,23 Poyntz Avenue Condos,Central Capital Realty Inc,Lansing-Westgate,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/23-poyntz-avenue-condos/,"23 Poyntz Avenue Condos is a new condominium development by Central Capital Realty Inc currently in pre-construction located at 23 Poyntz Avenue, Toronto in the Lansing-Westgate neighbourhood with a 78/100 walk score and a 90/100 transit score. 23 Poyntz Avenue Condos is designed by IBI Group. The project is 9 storeys tall and has a total of 41 suites. 23 Poyntz Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
579 Lawrence Avenue West,Lawrence Manor Towns,Mackenzie Hall Homes,Glen Park,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/08/lawrence-manor-towns-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/lawrence-manor-towns/,"Lawrence Manor Towns is a new condominium development by Mackenzie Hall Homes currently in pre-construction located at 579 Lawrence Avenue West, Toronto in the Glen Park neighbourhood with a 56/100 walk score and a 81/100 transit score. Lawrence Manor Towns is designed by R. Varacalli Architect. Development is scheduled to be completed in 2024. The project is 4 storeys tall and has a total of 25 suites. Lawrence Manor Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
1196 Yonge Street,Yonge & Birch Condos,Woodcliffe Landmark Properties,Summerhill,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/05/yonge-birch-condos-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/yonge-birch-condos/,"Yonge & Birch Condos is a new condominium development by Woodcliffe Landmark Properties currently in pre-construction located at 1196 Yonge Street, Toronto in the Summerhill neighbourhood with a 94/100 walk score and a 86/100 transit score. Yonge & Birch Condos is designed by KPMB. The project is 14 storeys tall and has a total of 59 suites. Yonge & Birch Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
